h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.6722152,0.66498405,0.001775624,3.3453785E-4,1.02934726E-4,1.8013577E-4,0.0010036136,0.22136113,0.09186924,0.051493097,0.20296155,0.06806559,0.0,0.0,0.0,0.0,0.004883634,0.0240112,0.10265023,0.44416025,0.79978895,0.2459348,0.12791364,0.1464464,0.14441156,0.12900934,0.09773529,0.067337796,0.041260447,0.01627878,0.0061984584,0.006229764,0.015461383,0.091060355,0.20293066,0.16827738,0.12894973,0.16953586,0.2722372,0.27021465,0.29983398,0.478359,0.49638233,0.18490736,0.111151166,0.10153275,0.25529262,0.2057173,A
0.63087535,0.6995673,0.0024152563,2.5970498E-4,2.5970498E-4,7.791149E-5,0.0011946429,0.23492911,0.10616739,0.05900497,0.19662264,0.06316025,0.0,0.0,0.0,0.0,0.0053979205,0.027246647,0.102142796,0.44079804,0.78995997,0.26276305,0.13870728,0.15046704,0.15872458,0.126819,0.0986727,0.07293619,0.049127504,0.024387034,0.010378145,0.009092926,0.030546151,0.12523466,0.23521902,0.17353491,0.12619065,0.17826934,0.27582583,0.282973,0.3021383,0.5041253,0.4461741,0.15154715,0.10570516,0.10948359,0.2603479,0.18887627,A
0.6405764,0.69713706,0.0024357492,3.076736E-4,5.127893E-5,0.0,0.0016665652,0.21957637,0.08689215,0.052201953,0.20188515,0.066380575,0.0,0.0,0.0,0.0,0.0045671216,0.024536468,0.10532728,0.46861818,0.7858284,0.24445125,0.13074566,0.14192724,0.15534513,0.1195326,0.09389372,0.06737292,0.04289945,0.021638708,0.0058900123,0.006425468,0.014015879,0.09642742,0.20546003,0.17956707,0.12705302,0.1604545,0.2866429,0.2844586,0.30006722,0.50775707,0.42566404,0.16737142,0.11713269,0.14243409,0.28832665,0.19203573,A
0.67575467,0.6566568,0.0029162953,5.1615847E-4,1.03231694E-4,1.2903962E-4,0.0018065546,0.22950986,0.073655814,0.0589453,0.21448965,0.06756514,0.0,0.0,0.0,0.0,0.0064234547,0.04067128,0.18554881,0.7151976,0.5867922,0.15575288,0.124589585,0.14312857,0.14703988,0.10980292,0.0843953,0.06798686,0.043692213,0.019365763,0.0063916557,0.0054058777,0.00687124,0.06911925,0.16839059,0.1955139,0.117715195,0.16292073,0.27909893,0.30070716,0.29103318,0.53505266,0.38343328,0.1643673,0.14343715,0.19230431,0.30391675,0.15790291,A
0.65312517,0.6795169,0.0039807367,0.0016543322,2.584894E-4,6.7207246E-4,0.002119613,0.23137386,0.07359193,0.059581805,0.2109015,0.068422146,0.0,0.0,0.0,0.0,0.005454223,0.04071641,0.18522161,0.7122518,0.59216374,0.1543989,0.12173699,0.14253914,0.14716889,0.10749893,0.08393796,0.066370286,0.044141155,0.019470308,0.005866461,0.0064372513,0.0070598815,0.06722829,0.16884503,0.1868819,0.1207012,0.15946223,0.28020898,0.3094961,0.2920058,0.5433376,0.3293093,0.18642642,0.16424473,0.21794537,0.3081752,0.15672937,A
0.6835856,0.6499708,0.00410818,9.301539E-4,1.5502564E-4,3.1005128E-4,0.0011368548,0.22540729,0.075575,0.06345716,0.21254016,0.06715194,0.0,0.0,0.0,0.0,0.0046272725,0.030584369,0.15403111,0.67003536,0.6399898,0.17260359,0.11954843,0.14724869,0.15865839,0.114635915,0.0773008,0.065700926,0.04243779,0.02259757,0.0076381685,0.00643381,0.009773365,0.07962965,0.17010309,0.18992905,0.11956083,0.14455272,0.28715077,0.31400424,0.3076283,0.5113797,0.2959468,0.22278619,0.20007475,0.2307445,0.2961795,0.19481574,A
0.708394,0.617892,0.0037492185,8.3315966E-4,0.0,0.0,9.112684E-4,0.22479689,0.08266506,0.06644449,0.22245362,0.07144344,0.0,0.0,0.0,0.0,0.0044185338,0.026285438,0.15219752,0.63730097,0.66239303,0.18473987,0.12955657,0.15977676,0.16777527,0.11810709,0.07669543,0.06308505,0.042540483,0.025156615,0.012707316,0.014223164,0.021089045,0.09969799,0.1835317,0.18742652,0.11233242,0.1281492,0.3046987,0.31586072,0.30873603,0.4617741,0.26698542,0.24836627,0.25335354,0.24204905,0.29477167,0.21901259,A
0.72618914,0.59895575,0.004223838,7.5148034E-4,5.182623E-5,1.813918E-4,0.001347482,0.22132392,0.07976057,0.06144,0.22204949,0.07385238,0.0,0.0,0.0,0.0,0.0046668295,0.025411844,0.14435206,0.63299465,0.6697539,0.19006142,0.12638797,0.15387751,0.16509707,0.11424142,0.07885663,0.06626258,0.041937534,0.025987206,0.008726331,0.0062650586,0.013663239,0.084740154,0.18468767,0.19254872,0.119506545,0.1371471,0.2937596,0.3172024,0.30396026,0.5028259,0.28669405,0.2227763,0.19661961,0.22666003,0.29951504,0.21131228,A
0.7166737,0.605557,0.0022337611,3.116876E-4,5.1947933E-5,0.0,0.0016883078,0.22599947,0.076649174,0.05979207,0.23158388,0.07425957,0.0,0.0,0.0,0.0,0.0045994846,0.035463613,0.17344816,0.6713979,0.6374569,0.1708788,0.11996725,0.14049047,0.14696147,0.11130753,0.086375155,0.06667667,0.043584082,0.018683424,0.0043774405,0.0044726026,0.0053332774,0.06077247,0.16882737,0.1917739,0.118676625,0.15717483,0.2780475,0.30242822,0.2993358,0.51414585,0.43221956,0.17026152,0.13050844,0.14502929,0.29014823,0.17729786,A
0.68798727,0.633063,0.0023993491,4.6943786E-4,0.0,7.823964E-5,8.8671595E-4,0.23508404,0.08415978,0.053281195,0.23654452,0.06898128,0.0,0.0,0.0,0.0,0.004225948,0.029364122,0.13395633,0.67192566,0.64973944,0.13796477,0.118854776,0.15275557,0.16456337,0.10512045,0.07917437,0.06590614,0.04387528,0.017245596,0.005593166,0.0061524827,0.011352155,0.08193693,0.18712747,0.19193383,0.117915936,0.1574196,0.28449053,0.30902582,0.29872647,0.51633996,0.38363877,0.17165558,0.13595122,0.1863493,0.28824404,0.19339862,A
