h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.82600975,0.112441115,0.12079103,0.13892134,0.20285974,0.22840849,0.26999176,0.13123675,0.097404614,0.20545453,0.1883555,0.021689825,0.009048516,0.0021955958,6.6533205E-5,0.0,0.83089554,0.1539497,0.21600118,0.1676456,0.114832394,0.2066014,0.2337025,0.10546491,0.0740031,0.2747902,0.09222123,0.0058789016,0.003682389,0.0010982563,0.0,0.0,0.5556118,0.5406673,0.42474967,0.22511017,0.14798337,0.36627105,0.07800397,0.054450087,0.04022029,0.027874805,0.017023774,0.008219494,0.0050356584,0.0024041208,0.0011695722,2.9239306E-4,A
0.8253789,0.109056555,0.11612597,0.14225934,0.19522966,0.22588612,0.25413024,0.139579,0.109056555,0.20658763,0.21124473,0.024558665,0.011022921,0.0030153887,0.0,0.0,0.83057064,0.15279168,0.21591672,0.16570729,0.11485206,0.21204203,0.20035341,0.113366775,0.08902085,0.2957029,0.07849462,0.0066838283,0.0030674576,0.001226983,0.0,0.0,0.5424248,0.5382052,0.42391756,0.2200708,0.15363741,0.3891799,0.08177423,0.05691486,0.042751566,0.027083622,0.017139878,0.0092895515,0.0056587765,0.0023878072,0.001570065,9.8129065E-5,A
0.82645977,0.10444717,0.12288498,0.13970189,0.1930905,0.22456309,0.21011001,0.14996763,0.13689907,0.23060773,0.21004248,0.029615315,0.012967253,0.002093671,0.0,0.0,0.8293169,0.15051636,0.2201103,0.16414951,0.111726835,0.20621748,0.1651233,0.12162709,0.118608326,0.30960214,0.084428094,0.0073034684,0.0037653437,4.2197815E-4,0.0,0.0,0.55127835,0.5116917,0.43072495,0.18234642,0.1714552,0.41709462,0.077510275,0.057032168,0.040956207,0.026673708,0.017934645,0.01069557,0.005576044,0.0028043261,5.5434357E-4,0.0,A
0.8244717,0.10506242,0.124995075,0.140004,0.18846038,0.22350383,0.19684772,0.15647306,0.15073435,0.23562641,0.21413174,0.03134215,0.014126039,0.0021053231,0.0,0.0,0.82784295,0.14846459,0.22266436,0.16056556,0.109396674,0.20038165,0.1585162,0.12543371,0.13320826,0.31508064,0.08483691,0.0077420184,0.0038059503,3.252949E-4,0.0,0.0,0.5506723,0.51485306,0.41859692,0.16489886,0.1744398,0.43152443,0.07792318,0.059883296,0.04060602,0.028232092,0.019016773,0.010908593,0.0061544008,0.0023770966,7.489482E-4,0.0,A
0.8218626,0.10464033,0.12746227,0.14422108,0.19293061,0.22678883,0.20100345,0.15583642,0.1473889,0.23755261,0.20958722,0.030383846,0.013863481,0.0024865703,0.0,0.0,0.8239334,0.14876121,0.22898683,0.16418418,0.11362567,0.20347835,0.16146633,0.12705117,0.12849197,0.31432068,0.087757,0.0072366777,0.0047807917,7.5313845E-4,0.0,0.0,0.5528031,0.5140184,0.41925126,0.16853277,0.17353934,0.42903683,0.072952844,0.05998128,0.040832784,0.02734106,0.018238211,0.011216012,0.0053641796,0.002730855,9.427952E-4,0.0,A
0.81657046,0.11124659,0.12499885,0.14496182,0.20300797,0.23279884,0.23914605,0.14591731,0.122303,0.2255644,0.20846793,0.028733015,0.013069768,0.003924343,6.824944E-5,0.0,0.82079166,0.15518287,0.22435367,0.16972613,0.11939922,0.20938362,0.1947747,0.121598765,0.096615866,0.30829751,0.08834295,0.007091073,0.004202117,0.0015101358,0.0,0.0,0.5421518,0.55436254,0.40920824,0.20195244,0.1786112,0.382135,0.07712757,0.060202714,0.0423285,0.027269635,0.017841479,0.0110322535,0.0054342854,0.0027826158,0.001636833,9.8209974E-5,A
0.8114644,0.10946798,0.12293992,0.14396021,0.20011586,0.2302754,0.30278018,0.12801729,0.1031382,0.1877271,0.2137909,0.027925504,0.013438092,0.00450193,6.7698194E-5,0.0,0.8187447,0.15772085,0.22492193,0.16867505,0.12285762,0.21678828,0.2427307,0.10921406,0.07654823,0.28218552,0.08507546,0.0078056897,0.0034108895,0.002099009,3.2797016E-5,0.0,0.54438776,0.5592529,0.4123771,0.2431706,0.16216855,0.34903565,0.08323841,0.056895476,0.044628415,0.030092115,0.018252594,0.010918669,0.0063472986,0.0029269927,0.0015457153,5.262009E-4,A
0.80843943,0.103088245,0.12300302,0.14278391,0.20323111,0.22401612,0.3419986,0.12581451,0.091976136,0.15834756,0.20383358,0.02727822,0.01281909,0.0035813123,3.012319E-4,0.0,0.81739384,0.15868482,0.22004995,0.16857398,0.12305769,0.2061331,0.29716566,0.10861691,0.066604406,0.2427426,0.09319377,0.0066800877,0.0038639721,0.001801004,2.9470975E-4,0.0,0.5611064,0.56537896,0.4175357,0.24493775,0.16689034,0.30100274,0.07732988,0.058837242,0.043345176,0.030299224,0.018884016,0.009132166,0.0058054486,0.0025113458,0.0013372101,4.892232E-4,A
0.80622464,0.099340044,0.12076179,0.139605,0.20211814,0.2193415,0.3728971,0.12674534,0.08710849,0.1346132,0.18823369,0.026182136,0.011934029,0.0036033494,1.6529126E-4,0.0,0.8190973,0.1578586,0.21613029,0.16529337,0.12391296,0.20090204,0.32576066,0.11726079,0.06629343,0.20139118,0.09756515,0.007010865,0.004010867,0.0015652163,2.9347808E-4,0.0,0.5704045,0.53282434,0.44912294,0.2692044,0.17393988,0.26950005,0.0791681,0.061100695,0.045135673,0.03367108,0.019020054,0.0100520495,0.0048946254,0.0028907855,0.001379693,5.584472E-4,A
0.80589235,0.094166234,0.12093963,0.13842764,0.19886465,0.21887907,0.38411292,0.13593404,0.084290266,0.11329477,0.18337807,0.026149996,0.011877414,0.0035435378,9.84316E-5,0.0,0.81994826,0.15528683,0.21588182,0.16327524,0.12307342,0.19682007,0.3379486,0.12982786,0.06455672,0.17879744,0.09566604,0.006916791,0.0044488283,0.0012989279,1.948392E-4,0.0,0.579348,0.5133805,0.45732626,0.2814569,0.18314788,0.2551094,0.078910686,0.062114168,0.045811668,0.033197816,0.019464197,0.0103413835,0.0049401512,0.002898222,0.0015808484,3.2934343E-4,A
