@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B,C}
@data
176.0,94.0,112.0,124.0,66.0,32.0,27.0,23.0,22.0,23.0,20.0,16.0,11.0,11.0,13.0,7.0,8.0,8.0,4.0,5.0,7.0,7.0,6.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,4.0,3.0,3.0,4.0,6.0,C
137.0,81.0,63.0,84.0,48.0,19.0,13.0,11.0,10.0,7.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,8.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,C
109.0,62.0,67.0,55.0,23.0,19.0,9.0,7.0,7.0,9.0,8.0,8.0,7.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,6.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,C
156.0,70.0,93.0,82.0,38.0,25.0,25.0,14.0,12.0,9.0,7.0,8.0,5.0,6.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,C
188.0,105.0,138.0,116.0,66.0,36.0,23.0,24.0,26.0,25.0,20.0,17.0,15.0,11.0,12.0,16.0,11.0,5.0,7.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,C
144.0,99.0,54.0,67.0,41.0,21.0,20.0,11.0,7.0,9.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,C
152.0,99.0,109.0,89.0,65.0,37.0,16.0,10.0,11.0,12.0,11.0,8.0,9.0,8.0,5.0,4.0,5.0,8.0,7.0,5.0,6.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,C
169.0,102.0,126.0,121.0,77.0,36.0,26.0,23.0,22.0,20.0,15.0,10.0,7.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,C
154.0,79.0,78.0,71.0,50.0,24.0,16.0,10.0,9.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,C
147.0,84.0,105.0,93.0,61.0,34.0,23.0,15.0,10.0,10.0,9.0,6.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,5.0,C
