@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B}
@data
8.0,13.0,59.0,98.0,97.0,43.0,70.0,105.0,52.0,41.0,101.0,206.0,204.0,57.0,48.0,55.0,32.0,29.0,41.0,52.0,47.0,24.0,11.0,13.0,7.0,5.0,15.0,15.0,32.0,38.0,46.0,38.0,19.0,16.0,10.0,6.0,6.0,9.0,16.0,12.0,15.0,16.0,13.0,9.0,6.0,6.0,12.0,18.0,19.0,25.0,30.0,31.0,33.0,24.0,23.0,18.0,8.0,11.0,8.0,4.0,5.0,5.0,7.0,A
515.0,350.0,364.0,273.0,329.0,298.0,248.0,163.0,204.0,235.0,285.0,230.0,145.0,91.0,122.0,143.0,135.0,104.0,81.0,78.0,93.0,101.0,83.0,74.0,90.0,99.0,92.0,73.0,47.0,44.0,61.0,66.0,56.0,46.0,46.0,42.0,44.0,33.0,23.0,36.0,30.0,32.0,46.0,26.0,41.0,22.0,35.0,40.0,28.0,32.0,30.0,24.0,28.0,30.0,33.0,37.0,33.0,38.0,49.0,37.0,35.0,33.0,29.0,B
1697.0,1158.0,804.0,556.0,599.0,613.0,568.0,527.0,464.0,545.0,668.0,770.0,909.0,956.0,885.0,717.0,523.0,437.0,443.0,467.0,576.0,690.0,706.0,638.0,524.0,398.0,338.0,391.0,417.0,399.0,441.0,486.0,414.0,338.0,313.0,320.0,424.0,465.0,483.0,477.0,413.0,380.0,509.0,571.0,546.0,454.0,347.0,283.0,230.0,198.0,208.0,218.0,221.0,263.0,340.0,405.0,445.0,448.0,415.0,354.0,279.0,216.0,188.0,B
1386.0,908.0,490.0,495.0,540.0,543.0,512.0,534.0,528.0,553.0,666.0,755.0,865.0,909.0,865.0,721.0,559.0,465.0,416.0,454.0,587.0,685.0,683.0,574.0,433.0,352.0,323.0,376.0,388.0,358.0,375.0,435.0,378.0,326.0,307.0,310.0,407.0,456.0,478.0,475.0,412.0,353.0,477.0,537.0,511.0,416.0,342.0,286.0,209.0,188.0,202.0,207.0,202.0,236.0,308.0,369.0,404.0,406.0,378.0,323.0,255.0,182.0,153.0,B
672.0,572.0,408.0,413.0,380.0,301.0,208.0,201.0,144.0,126.0,145.0,134.0,133.0,126.0,104.0,85.0,72.0,75.0,81.0,78.0,81.0,85.0,77.0,63.0,51.0,44.0,44.0,52.0,62.0,68.0,70.0,61.0,52.0,52.0,52.0,54.0,59.0,62.0,64.0,62.0,54.0,45.0,39.0,41.0,45.0,44.0,44.0,46.0,43.0,37.0,36.0,37.0,31.0,28.0,33.0,36.0,31.0,27.0,29.0,29.0,27.0,27.0,27.0,B
1907.0,1475.0,1007.0,625.0,523.0,587.0,563.0,446.0,348.0,341.0,361.0,568.0,843.0,1032.0,1067.0,983.0,863.0,760.0,649.0,489.0,363.0,354.0,338.0,396.0,485.0,535.0,567.0,598.0,634.0,650.0,631.0,573.0,483.0,393.0,366.0,419.0,507.0,567.0,600.0,587.0,514.0,367.0,247.0,409.0,510.0,643.0,723.0,717.0,657.0,580.0,533.0,538.0,555.0,566.0,600.0,646.0,675.0,677.0,659.0,626.0,573.0,509.0,478.0,B
1671.0,1228.0,786.0,459.0,417.0,482.0,465.0,469.0,415.0,353.0,381.0,563.0,812.0,990.0,1038.0,971.0,862.0,761.0,648.0,487.0,363.0,356.0,336.0,384.0,471.0,518.0,551.0,584.0,614.0,626.0,608.0,553.0,460.0,354.0,315.0,391.0,494.0,553.0,589.0,578.0,503.0,349.0,239.0,409.0,514.0,631.0,710.0,700.0,631.0,539.0,483.0,496.0,515.0,520.0,559.0,616.0,647.0,647.0,628.0,594.0,535.0,463.0,427.0,B
379.0,188.0,185.0,167.0,129.0,71.0,77.0,103.0,130.0,133.0,103.0,96.0,103.0,77.0,55.0,40.0,42.0,58.0,42.0,37.0,38.0,29.0,20.0,35.0,51.0,55.0,59.0,55.0,41.0,30.0,22.0,17.0,16.0,16.0,17.0,24.0,28.0,29.0,32.0,36.0,35.0,31.0,25.0,23.0,21.0,17.0,13.0,10.0,11.0,12.0,15.0,16.0,15.0,14.0,14.0,15.0,17.0,15.0,14.0,12.0,6.0,2.0,2.0,B
1854.0,1513.0,1157.0,761.0,411.0,207.0,238.0,457.0,524.0,363.0,314.0,387.0,373.0,434.0,559.0,630.0,614.0,555.0,502.0,531.0,586.0,570.0,479.0,337.0,221.0,184.0,183.0,192.0,240.0,289.0,343.0,368.0,350.0,326.0,323.0,345.0,378.0,396.0,383.0,447.0,474.0,445.0,386.0,345.0,362.0,421.0,460.0,429.0,328.0,277.0,270.0,259.0,263.0,290.0,312.0,330.0,338.0,337.0,342.0,375.0,434.0,492.0,515.0,B
1827.0,1472.0,1122.0,735.0,391.0,128.0,217.0,460.0,538.0,407.0,353.0,412.0,418.0,439.0,559.0,638.0,638.0,595.0,566.0,591.0,627.0,601.0,505.0,367.0,244.0,203.0,223.0,241.0,264.0,313.0,363.0,378.0,357.0,336.0,342.0,368.0,396.0,405.0,391.0,458.0,488.0,460.0,396.0,350.0,370.0,440.0,487.0,452.0,336.0,285.0,279.0,267.0,273.0,294.0,314.0,333.0,342.0,347.0,361.0,395.0,453.0,511.0,535.0,B
349.0,229.0,251.0,300.0,190.0,170.0,229.0,210.0,150.0,85.0,65.0,89.0,109.0,112.0,91.0,52.0,27.0,27.0,25.0,35.0,49.0,54.0,43.0,24.0,18.0,29.0,37.0,35.0,23.0,12.0,20.0,28.0,30.0,27.0,17.0,13.0,17.0,21.0,25.0,25.0,18.0,10.0,10.0,15.0,17.0,18.0,12.0,10.0,13.0,12.0,14.0,16.0,13.0,13.0,12.0,12.0,15.0,13.0,11.0,9.0,9.0,12.0,14.0,B
1801.0,1278.0,812.0,678.0,669.0,510.0,374.0,394.0,377.0,333.0,552.0,555.0,478.0,374.0,342.0,312.0,264.0,274.0,249.0,340.0,388.0,242.0,257.0,330.0,384.0,369.0,268.0,266.0,300.0,337.0,332.0,280.0,235.0,316.0,387.0,373.0,296.0,321.0,335.0,327.0,373.0,391.0,403.0,416.0,400.0,353.0,285.0,228.0,280.0,308.0,304.0,286.0,287.0,357.0,409.0,421.0,398.0,372.0,341.0,297.0,265.0,246.0,237.0,B
2073.0,1330.0,821.0,676.0,679.0,512.0,520.0,689.0,705.0,645.0,871.0,904.0,812.0,684.0,576.0,515.0,479.0,435.0,475.0,623.0,671.0,531.0,381.0,439.0,497.0,504.0,451.0,426.0,442.0,449.0,440.0,415.0,413.0,473.0,556.0,576.0,520.0,552.0,551.0,498.0,595.0,632.0,630.0,596.0,530.0,448.0,372.0,318.0,365.0,474.0,500.0,419.0,376.0,511.0,620.0,652.0,613.0,538.0,511.0,511.0,431.0,302.0,297.0,B
