h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,label
0.0,0.0,0.08010665,0.22997953,0.1877737,0.11471543,0.24825464,0.43184996,0.48975635,0.23647922,0.16721946,0.20718838,0.13168216,0.4001534,0.31624824,0.0,A
0.0,0.0,0.07801973,0.23208028,0.18812314,0.11498753,0.24315378,0.43258217,0.48820227,0.23666969,0.16610245,0.20757544,0.12930308,0.4154877,0.30134228,0.0,A
0.0,0.0,0.08380161,0.22698386,0.18961172,0.11660275,0.25000814,0.42992765,0.49121287,0.23739557,0.16574097,0.20814966,0.13171242,0.35471782,0.36462164,0.0,A
0.0,0.0,0.07794728,0.23371539,0.18620506,0.11660475,0.24459174,0.43075466,0.49217662,0.23573889,0.1639886,0.20926464,0.12916738,0.39812556,0.31933513,0.0,A
0.0,0.0,0.08138604,0.22593167,0.1914618,0.11505429,0.24390496,0.4343542,0.48996165,0.23787168,0.16513476,0.20622858,0.1323947,0.40055937,0.316009,0.0,A
0.0,0.0,0.07670737,0.23222947,0.19008255,0.11577756,0.24263975,0.4307414,0.4907586,0.23964733,0.16546877,0.20816357,0.12926456,0.40587473,0.3095269,0.0,A
0.0,0.0,0.08093598,0.22932562,0.19039546,0.11257727,0.24179676,0.435942,0.49096665,0.23539266,0.16385217,0.20990267,0.13010427,0.40105653,0.31350577,0.0,A
0.0,0.0,0.08103022,0.22917083,0.19036406,0.11308798,0.24233139,0.43269545,0.4951659,0.23545584,0.16712219,0.20711003,0.12979177,0.38228884,0.33390692,0.0,A
0.0,0.0,0.08273733,0.22539079,0.19136953,0.11149538,0.24652775,0.4295604,0.49322394,0.23684348,0.16252726,0.20985386,0.12960075,0.41242346,0.30214912,0.0,A
0.0,0.0,0.08116417,0.22901548,0.19170445,0.11362139,0.24480093,0.43055418,0.4924297,0.23695041,0.16654904,0.2069834,0.1304198,0.39408728,0.32322162,0.0,A
0.0,0.0,0.08064969,0.23090924,0.18700278,0.11478043,0.2440559,0.43586224,0.4853729,0.23963153,0.1664822,0.20866105,0.12763213,0.41357192,0.30148825,0.0,A
0.0,0.0,0.08219388,0.22882709,0.1876669,0.11626913,0.24400912,0.43403766,0.48683742,0.23852672,0.16607465,0.20677096,0.13221027,0.41510227,0.30030918,0.0,A
0.0,0.0,0.08028582,0.2297008,0.19138926,0.11173496,0.24102585,0.43510956,0.4879879,0.23908924,0.16347657,0.20915571,0.13084862,0.4151539,0.29836684,0.0,A
0.0,0.0,0.08051649,0.22949937,0.19044192,0.11426515,0.2405804,0.4321599,0.491357,0.23674627,0.16701588,0.20780079,0.13052855,0.41100904,0.30390653,0.0,A
0.0,0.0,0.07872024,0.23047161,0.1901001,0.115425445,0.24227123,0.43296131,0.49044225,0.23653999,0.16603734,0.20632456,0.13232417,0.4095728,0.3052727,0.0,A
0.0,0.0,0.08174612,0.22950496,0.19069876,0.11258017,0.23958614,0.43914282,0.48794585,0.23971269,0.16382967,0.20879425,0.12945244,0.327111,0.38936967,0.0,A
0.0,0.0,0.08085485,0.23048279,0.18908376,0.114185296,0.24438103,0.43481657,0.4905363,0.24057908,0.16390638,0.2091496,0.12964657,0.3570033,0.3597069,0.0,A
0.0,0.0,0.084113486,0.22470978,0.18928693,0.11469255,0.24661215,0.4289493,0.49208704,0.23873572,0.16144566,0.21072596,0.12758124,0.41496548,0.30090472,0.0,A
