@relation accData
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label numeric
@data
385.0,253.0,250.0,1.0
386.0,254.0,251.0,1.0
387.0,253.0,251.0,1.0
387.0,253.0,252.0,1.0
388.0,252.0,252.0,1.0
388.0,253.0,252.0,1.0
387.0,252.0,253.0,1.0
387.0,252.0,252.0,1.0
387.0,253.0,252.0,1.0
386.0,252.0,251.0,1.0
386.0,252.0,251.0,1.0
385.0,252.0,251.0,1.0
386.0,253.0,251.0,1.0
387.0,253.0,251.0,1.0
387.0,253.0,251.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,251.0,1.0
387.0,253.0,251.0,1.0
386.0,253.0,251.0,1.0
387.0,252.0,251.0,1.0
387.0,252.0,252.0,1.0
387.0,252.0,252.0,1.0
386.0,252.0,252.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,253.0,1.0
386.0,252.0,252.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,251.0,1.0
387.0,253.0,251.0,1.0
387.0,253.0,252.0,1.0
387.0,253.0,253.0,1.0
388.0,252.0,253.0,1.0
387.0,253.0,254.0,1.0
387.0,253.0,253.0,1.0
386.0,253.0,253.0,1.0
386.0,252.0,252.0,1.0
386.0,252.0,251.0,1.0
386.0,252.0,251.0,1.0
386.0,253.0,252.0,1.0
386.0,253.0,251.0,1.0
387.0,254.0,252.0,1.0
388.0,253.0,253.0,1.0
387.0,253.0,255.0,1.0
387.0,253.0,255.0,1.0
387.0,253.0,253.0,1.0
387.0,253.0,253.0,1.0
386.0,253.0,252.0,1.0
