@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B,C}
@data
219.0,279.0,259.0,224.0,203.0,152.0,132.0,104.0,88.0,84.0,63.0,44.0,34.0,23.0,14.0,29.0,33.0,25.0,13.0,11.0,11.0,9.0,8.0,6.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,C
135.0,176.0,95.0,40.0,47.0,40.0,38.0,38.0,24.0,15.0,14.0,12.0,10.0,12.0,13.0,10.0,9.0,7.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,7.0,C
236.0,258.0,236.0,182.0,135.0,109.0,83.0,88.0,95.0,97.0,82.0,62.0,46.0,32.0,33.0,24.0,10.0,8.0,11.0,8.0,7.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,C
194.0,196.0,175.0,153.0,119.0,93.0,79.0,76.0,83.0,75.0,61.0,49.0,39.0,45.0,43.0,28.0,11.0,8.0,7.0,10.0,9.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,C
359.0,468.0,309.0,142.0,146.0,167.0,125.0,74.0,37.0,32.0,45.0,52.0,52.0,43.0,30.0,23.0,20.0,18.0,15.0,8.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,C
209.0,219.0,125.0,97.0,87.0,67.0,54.0,50.0,50.0,43.0,33.0,38.0,33.0,22.0,22.0,19.0,10.0,7.0,10.0,10.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,C
211.0,181.0,157.0,128.0,118.0,101.0,89.0,78.0,66.0,63.0,49.0,28.0,18.0,21.0,26.0,24.0,15.0,10.0,7.0,4.0,4.0,3.0,6.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,6.0,9.0,11.0,C
323.0,502.0,445.0,268.0,137.0,119.0,115.0,105.0,72.0,42.0,42.0,32.0,25.0,26.0,26.0,21.0,11.0,9.0,9.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,C
318.0,394.0,275.0,218.0,189.0,111.0,62.0,35.0,37.0,39.0,33.0,40.0,32.0,21.0,12.0,19.0,17.0,11.0,11.0,11.0,11.0,8.0,8.0,7.0,7.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,C
176.0,164.0,169.0,118.0,83.0,62.0,37.0,21.0,19.0,23.0,21.0,19.0,16.0,14.0,8.0,5.0,4.0,5.0,5.0,8.0,7.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,C
