h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.6984726,0.4951858,0.22363128,0.029284671,0.03206466,0.35451195,0.22198856,0.086274475,0.030485122,0.009034969,0.15043539,0.09480399,0.0,0.0,0.0,0.0,0.7104814,0.54038775,0.37349758,0.22616644,0.10737957,0.030575702,0.008698709,0.002057479,6.51101E-4,2.0835231E-4,2.604404E-5,5.208808E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.10041456,0.20803002,0.09229865,0.0808011,0.17107077,0.34950155,0.4126784,0.19597548,0.18336399,0.24272157,0.18957028,0.179863,0.64075947,0.008354619,A
0.70860153,0.47488114,0.24207889,0.033560503,0.02893802,0.3518154,0.2218476,0.084502816,0.03191414,0.008643413,0.1400676,0.10470244,0.0,0.0,0.0,0.0,0.6989137,0.5410987,0.38745958,0.2373922,0.10484231,0.034036983,0.009796138,0.0021273114,9.192086E-4,2.8889414E-4,2.6263104E-5,5.2526208E-5,0.0,5.2526208E-5,0.0,0.0,0.0,0.0,0.10239368,0.20431148,0.08986215,0.08121698,0.1614029,0.35845718,0.4121524,0.19602321,0.18491933,0.24115257,0.18729873,0.17500515,0.6419631,0.009477958,A
0.70969343,0.47640976,0.22429304,0.03208242,0.02637257,0.35489404,0.22394602,0.08148367,0.03183005,0.009590026,0.15523854,0.09690973,0.0,0.0,0.0,0.0,0.7062054,0.5451136,0.37813744,0.22446622,0.0977174,0.032858875,0.010675229,0.0028640858,0.0011456343,3.3848287E-4,2.6037143E-5,0.0,5.2074287E-5,2.6037143E-5,2.6037143E-5,0.0,0.0,0.0,0.09870376,0.2068853,0.09398469,0.07609984,0.1672293,0.3569832,0.40829805,0.19962825,0.18249686,0.24007735,0.18800904,0.17527947,0.64325976,0.0086450055,A
0.7090693,0.4851393,0.23973008,0.03870708,0.028300587,0.32475874,0.23198867,0.08607566,0.027951589,0.0105968565,0.16003157,0.09429298,0.0,0.0,0.0,0.0,0.7060937,0.54365534,0.37539226,0.22948764,0.10523625,0.03353769,0.008985175,0.0023507725,9.40309E-4,2.0895756E-4,5.223939E-5,2.6119695E-5,0.0,2.6119695E-5,0.0,0.0,0.0,0.0,0.10180882,0.2067148,0.088229015,0.08243179,0.16343413,0.3565691,0.41382664,0.19480269,0.18304941,0.2424114,0.18833044,0.1796346,0.6396802,0.008576718,A
0.7010445,0.4822401,0.24018295,0.03611798,0.026397571,0.35101464,0.2277942,0.07741382,0.032115456,0.010832217,0.15613005,0.098347634,0.0,0.0,0.0,0.0,0.7099562,0.52750015,0.38871193,0.23254566,0.10610289,0.0339697,0.010667954,0.0022017397,8.911804E-4,2.8832306E-4,5.2422376E-5,7.8633566E-5,0.0,2.6211188E-5,2.6211188E-5,0.0,0.0,0.0,0.08507359,0.22217631,0.089680746,0.082809724,0.17189473,0.35538676,0.40626413,0.19524826,0.18245941,0.24028721,0.1911177,0.17872603,0.6402364,0.008896585,A
0.7354196,0.4569212,0.2190658,0.03126385,0.029606868,0.3321159,0.22178575,0.08325563,0.032201767,0.0103795985,0.15581903,0.0932288,0.0,0.0,0.0,0.0,0.69891316,0.5466674,0.38827637,0.22279868,0.10530637,0.03302755,0.009492478,0.0024319573,0.001019853,2.615008E-4,2.6150079E-5,7.845023E-5,2.6150079E-5,0.0,0.0,0.0,0.0,0.0,0.10349703,0.2043759,0.0896128,0.08013185,0.16248518,0.349962,0.42100957,0.19668007,0.18315285,0.24229968,0.18636607,0.17823386,0.63986474,0.008925578,A
0.68783385,0.50178355,0.22987375,0.031598862,0.029811453,0.35377958,0.22696921,0.08292308,0.03683342,0.009288151,0.15690911,0.103701726,0.0,0.0,0.0,0.0,0.7075833,0.54938763,0.36988732,0.21929666,0.10615834,0.035004124,0.009558418,0.0020835786,8.334315E-4,2.344026E-4,7.81342E-5,2.6044734E-5,5.208947E-5,2.6044734E-5,2.6044734E-5,0.0,0.0,0.0,0.10637715,0.19930796,0.09372646,0.080041446,0.16982949,0.34940556,0.41623938,0.19513085,0.18470797,0.24052215,0.19310197,0.17746763,0.6408487,0.008553136,A
0.71305907,0.48253372,0.21410644,0.03142241,0.031957123,0.34942096,0.22134084,0.07904356,0.031044962,0.01188956,0.1495002,0.100337826,0.0,0.0,0.0,0.0,0.70103365,0.5416769,0.39139563,0.2243496,0.10215779,0.032195657,0.011533944,0.002720023,0.001150779,2.8769474E-4,7.84622E-5,2.6154068E-5,2.6154068E-5,0.0,0.0,0.0,0.0,0.0,0.09348927,0.21472016,0.089010976,0.08278893,0.16054474,0.35505313,0.41576767,0.18991122,0.18808821,0.24571152,0.18186615,0.17881458,0.6393255,0.008560272,A
0.7068473,0.48313135,0.22809511,0.03500124,0.030907713,0.34287253,0.2256517,0.07968097,0.031827964,0.012312313,0.16748554,0.0932626,0.0,0.0,0.0,0.0,0.70075643,0.5362442,0.39267948,0.23359421,0.10777843,0.030411817,0.008468118,0.0023595374,8.6516375E-4,2.0973667E-4,2.6217083E-5,2.6217083E-5,2.6217083E-5,2.6217083E-5,0.0,0.0,0.0,0.0,0.095245786,0.21163526,0.0912392,0.08231362,0.16486526,0.36420307,0.40470535,0.19374445,0.18481888,0.24464005,0.1819627,0.17791644,0.64113384,0.008171858,A
0.7241862,0.46484885,0.22704183,0.030569358,0.028058527,0.34288526,0.22161216,0.08232385,0.03144815,0.011235965,0.14879808,0.09738883,0.0,0.0,0.0,0.0,0.69940066,0.5422143,0.38741195,0.23378849,0.10518386,0.030546546,0.00966696,0.0024363883,0.0011003044,1.3098861E-4,2.6197724E-5,5.2395448E-5,2.6197724E-5,0.0,0.0,0.0,0.0,0.0,0.08823869,0.2182809,0.09271198,0.07976714,0.159178,0.3572697,0.4145912,0.19373716,0.1867699,0.23561986,0.18669073,0.17825878,0.64039356,0.008748654,A
